assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,None,0,0,False,True,0,0,0,0,438098,None,,0,0,-1,1,0.0,775,335,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,755,324,0,0,0,False,0.0,775,335,1,False,0.0,775,335,0,0,0,0,0,0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,133,81,p438098,0,0,None,0,,438098.jpg,0.0,773,335,0,None,False,0,0,Ferreira Vieira,0.0,704,292,False,None,0,0,u,1,3,None,0.0,772,334,0,439,0,2816,0,0.0,0.0,Fábio Vieira,0
2,1997-04-03,6,152,True,True,0,0,2,0.3,205651,None,,0,0,-5,5,119.5,232,25,None,,2,4,0.0,0.0,0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,0.0,774,81,5,0.75,3,False,52.6,221,28,2,False,154.4,291,27,600,0,0,0,0,0,0,0,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,65,42,19,p205651,0,0,None,0,,205651.jpg,2.5,211,27,0,30,False,0,0.0,Fernando de Jesus,1.1,198,31,False,None,6,0.9,i,1,3,2022-07-04,255.0,98,30,42,1237705,19,1400798,1083,0.0,6.5,G.Jesus,4
2,1997-12-19,9,418,True,True,100,100,9,0.37,226597,None,,0,0,3,-3,193.7,161,35,None,,2,2,4.7,4.2,7,1.17,0.05,3.87,0.16,2.70,21.21,0.88,0.11,Gabriel,4.2,80,17,21,0.87,3,False,102.8,91,17,3,True,545.8,48,16,2168,0,0,0,0,0,0,0,,2024-11-27T10:30:06.325759Z,63,54,3,p226597,0,0,None,0,,226597.jpg,4.4,34,2,0,30,False,0,0.0,dos Santos Magalhães,29.2,8,2,False,None,25,1.04,a,1,3,2020-09-01,287.0,84,3,109,4599220,21794,2989485,21112,0.7,17.3,Gabriel,3
3,1999-06-11,14,340,True,True,0,0,7,0.34,219847,None,,0,0,-2,2,257.0,118,10,None,,1,4,0.0,0.0,0,1.63,0.08,11.02,0.54,9.39,19.00,0.93,0.46,Kai,3.0,136,16,20,0.98,9,False,142.6,42,10,4,False,467.2,82,10,1839,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Jun,2025-02-12T09:00:08.755570Z,78,13,4,p219847,0,0,3,0,,219847.jpg,4.6,29,12,0,80,False,0,0.0,Havertz,6.1,59,13,False,None,21,1.03,i,1,3,2023-06-28,701.0,15,9,96,2588736,54,3485702,6468,0.4,12.3,Havertz,4
0,None,0,0,False,True,0,0,0,0,463748,None,,0,0,0,0,0.0,573,49,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,469,55,0,0,0,False,0.0,590,66,5,False,0.0,590,66,0,0,0,0,0,0,0,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,664,56,p463748,0,0,None,0,,463748.jpg,0.0,594,66,0,None,False,0,0,Hein,0.0,620,70,False,None,0,0,u,1,3,None,0.0,536,34,0,0,0,4471,7,0.0,0.0,Hein,0
1,2001-06-17,5,337,True,True,100,100,9,0.4,445122,None,,0,0,1,-1,249.1,123,26,None,,2,2,4.3,3.8,6,1.10,0.05,1.85,0.08,0.75,17.10,0.76,0.03,Jurriën,3.8,101,26,17,0.76,1,False,77.9,130,32,6,False,324.0,168,63,2019,0,0,0,0,0,0,0,,2025-01-12T22:00:07.815228Z,56,101,10,p445122,0,0,None,0,,445122.jpg,3.6,83,16,0,152,False,0,0.0,Timber,4.4,84,29,False,None,23,1.03,a,1,3,2023-07-14,207.0,120,10,87,1298373,3195,962098,5950,0.7,15.5,J.Timber,7
0,1991-12-20,0,88,True,True,100,100,2,0.33,85955,None,,0,0,-3,3,69.8,293,178,None,,0,3,1.3,0.8,3,0.51,0.08,0.55,0.09,0.04,4.50,0.75,0.01,Jorge Luiz,0.8,299,148,5,0.83,0,False,11.3,395,191,7,False,37.4,417,189,540,0,0,0,0,0,0,0,,2025-01-12T22:00:07.826638Z,47,325,211,p85955,0,0,None,0,,85955.jpg,1.3,396,190,0,106,False,0,0.0,Frello Filho,0.2,358,112,False,None,7,1.17,a,1,3,2023-01-31,5.0,435,225,16,30106,84,48158,150,0.2,3.4,Jorginho,4
0,2000-02-15,0,39,True,True,None,None,1,0.28,440854,None,,0,0,-2,2,13.7,420,146,None,,0,2,0.5,0.0,0,0.03,0.01,0.03,0.01,0.00,4.45,1.24,0.0,Jakub,0.0,702,251,5,1.39,0,False,6.3,438,149,8,False,49.2,403,142,323,0,0,0,0,0,0,0,,None,48,316,40,p440854,0,0,None,0,,440854.jpg,1.6,348,113,0,172,False,0,0.0,Kiwior,0.2,395,138,False,None,2,0.56,a,1,3,2023-01-23,0.0,737,257,13,26090,59,36851,146,0.0,2.7,Kiwior,0
3,2001-06-18,6,283,True,True,0,0,7,0.43,444145,None,,0,0,-4,4,356.9,80,62,None,,1,3,0.0,0.0,0,2.96,0.18,7.00,0.43,4.04,14.75,0.91,0.25,Gabriel,1.2,261,129,15,0.93,6,False,131.6,49,33,9,False,389.4,126,47,1452,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Apr,2025-02-06T00:00:08.092348Z,66,39,20,p444145,0,0,None,0,,444145.jpg,4.0,62,31,0,30,False,0,0.0,Martinelli Silva,2.0,138,46,False,None,16,0.99,i,1,3,2019-07-15,570.0,31,18,89,1117548,26,1263973,3994,0.2,13.5,Martinelli,1
1,2007-03-21,4,176,True,True,100,100,2,0.34,499175,None,,0,0,1,-1,154.9,188,126,None,,0,3,5.5,5.0,3,1.17,0.2,1.99,0.34,0.82,3.58,0.61,0.14,Ethan,5.0,40,12,2,0.34,3,False,50.7,226,115,12,False,195.6,255,115,527,0,0,0,0,0,0,0,,2025-01-04T22:00:06.872110Z,46,358,231,p499175,0,0,None,0,,499175.jpg,2.6,183,77,0,241,False,0,0.0,Nwaneri,4.2,89,28,False,None,6,1.02,a,1,3,2022-09-17,157.0,162,102,44,605765,8229,163086,9290,1.1,9.6,Nwaneri,1
